Ice User: Aokiji, Esdeath, Haku, Todoroki
Two or More Swords Wielder: Zoro, Killer Bee, Kirito, Inosuke
Imouto: Yuki, Nezuko, Ayumi, Komachi
Masked Characters: Kakashi, Ichigo, Urokodaki, Kaneki
__dere: Hime, Tsun, Kuu, Yan
__bi (Bijuu/Tailed Beast): Hachi, Nana, Yon, Go
Raid Haired Characters: Soma, Shanks, Karma, Nagato
Demographic Genre: Shounen, Shoujo, Seinen, Josei
University Student Anime: Golden Time, Grand Blue, Rikekoi, Steins;Gate
Work Envinronment Anime: Shirobako, Koori Zokusei, Wotakoi, Senpai Uzai
Cafe Theme Anime: Blend S, Gochiusa, Working, Megami no Kafe
Erotica Anime: Nukitashi, Redo of Healer, Shuumatsu no Harem, Ishuzoku Reviewers
Anime adapted from Novel: Subete ga F, Hyouka, Another, Eat Pancreas
Anime adapted from Visual Novel (Outside Key and Sci-Adv): Grisaia, Fate, Higurashi, Atri
Anime from "Key" Company: Clannad, Angel Beats, Air, Little Busters
Childcare anime: Spy x Family, Hinamatsuri, Barakamon, Kakushigoto
Twin Character (Family Name): Aldini, Fujibayashi, Tokito, Zenin
Isekai Anime: Mushoku Tensei, Tensura, Re:Zero, Shield Hero
2020 Anime: Jujutsu Kaisen, Tonikawa, Rent-a-girlfriend, Akudama Drive
Anime Character Name in Title: Violet, Frieren, Naruto, Kaguya
Titan Shifter: Founding, Attack, Armor, Jaw
Survival Anime: Attack on Titan, Highschool of the Dead, Yakusoku no Neverland, Mirai Nikki
Precious Child: Ushio, Anya, Kanna, Renge
Historical Anime: Gosick, Orb, Vinland Saga, Dororo
Russian Anime Character: Kud, Anastasia, Alya, Katyusha
Smoker Character: Sanji, Asuma, Onizuka, Spike Spiegel
Character with Chunibyou: Zaimokuza, Okabe, Megumin, Rikka
Anime Set in Hokkaido: Hokkaido Gal, Erased, Golden Kamuy, Silver Spoon
Master or Sensei Characters: Jiraiya, Roshi, Gojo, Urahara
Demon Hosts: Yuji, Denji, Asta, Rin
Anti-Heroes: Eren, Leluoch, Light, Vegeta
The Speedsters: Minato, Killua, Koro-Sensei, Kizaru
Fire User: Natsu, Ace, Endeavor, Rengoku
Music Theme Anime: Shigatsu wa Kimi no Uso, K-On, Bocchi The Rock, Vivy
Makoto Shinkai Movie: Kotonoha no Niwa, Kimi no Na Wa, Tenki no Ko, Suzume
Ghibli Movie: Spirited Away, My Neighbour Totoro, Princess Mononoke, Howl's Moving Castle
Healer: Tsunade, Orihime Inoue, Mimosa Vermillion, Wendy Marvell
Power Source: Chakra, Devil Fruit, Quirks, Cursed Energy
JoJo Protagonist: Jonathan, Jotaro, Joseph, Josuke
12 Minutes per Episode: Senryuu Shoujo, Aho-Girl, Nijiro Days, Tsurezure Children
Anime with Pet Battle: Digimon, Pokemon, Bakugan, Yu-Gi-Oh
Villain Group: Akatsuki, The Espada, Marines, The Homunculi
Famous Mangaka: Akira Toriyama, Eiichiro Oda, Masashi Kishimoto, Hajime Iseyama
Anime Studios: Ghibli, MAPPA, Kyoto Animation, Madhouse
West Anime Licensors: Aniplex, Crunchyroll, Viz Media, Sentai Filmworks
South East Asia Anime Licensors: Muse Asia, Ani One, Aniplus, Tropics Anime Asia
Most Viewed Anisong Youtube: Uchiage Hanabi, Idol, Kaikai Kitan, Bling-Bang-Bang Born
Female Anime Voice Actress: Hanazawa Kana, Hayami Saori, Ueda Reina, Minase Inori
Male Anime Voice Actor: Kaji Yuki, Miyano Mamoru, Ono Daisuke, Kamiya Hiroshi
Anime Song Singer: Yoasobi, Lisa, Aimer, Kenshi Yonezu
High-Grossing Anime Movie (Outside Ghibli and Makoto Shinkai): KnY: Infinity Castle, The First Slam Dunk, One Piece: Red, Jujutsu Kaisen 0
Science Adventure Series (Outside Steins;Gate): Chaos;Head, Robotic;Notes, Occultic;Nine, Chaos;Child
Fate Series: Stay Night, Zero, Grand Order, Strange Fake
__monogatari (Monogatari Series): Bake, Nise, Kizu, Owari
Anime by Okada Mari: Anohana, Maquia (Sayoasa), Anthem of Heart, Her Blue Sky
No. 1 in their Squad: Blast, Gyoumei, Levi, All Might
Idol Anime: Love Live, Idolm@ster. Idolish7, D4DJ
Bald Characters: Saitama, Krillin, Ikkaku, Doy Pyxis
Anime adapted from Games (Outside Visual Novel): Arknight, Persona, Danganronpa, Cyberpunk Edgerunners
Slice-of-Life anime element: Fireworks, Beach Episode, Sick Day, Winter Holiday
